id,ethnicity,gender,age,location,bbtype,wfreq,city,state
940,Caucasian,F,24.0,Beaufort/NC,I,2.0,Beaufort,NC
941,Caucasian/Midleastern,F,34.0,Chicago/IL,I,1.0,Chicago,IL
943,Caucasian,F,49.0,Omaha/NE,I,1.0,Omaha,NE
944,European,M,44.0,NewHaven/CT,I,1.0,NewHaven,CT
945,Caucasian,F,48.0,Philidelphia/PA,I,1.0,Philidelphia,PA
946,Caucasian,F,42.0,Deerfield/MA,I,3.0,Deerfield,MA
947,Caucasian,M,49.0,ChapelHill/NC,I,6.0,ChapelHill,NC
948,Caucasian,M,20.0,ChapelHill/NC,I,,ChapelHill,NC
949,Caucasian,F,51.0,Durham/NC,I,3.0,Durham,NC
950,Caucasian,M,51.0,NewYork/NY,I,5.0,NewYork,NY
952,Caucasian,F,51.0,Seattle/WA,I,7.0,Seattle,WA
953,Caucasian,F,38.0,Chicago/IL,I,2.0,Chicago,IL
954,Caucasian,M,26.0,NewYork/NY,I,7.0,NewYork,NY
955,Caucasian,F,27.0,NewYork/NY,I,7.0,NewYork,NY
956,Caucasian,M,16.0,Jacksonville/NC,I,7.0,Jacksonville,NC
958,Caucasian,M,43.0,Wilmington/NC,I,5.0,Wilmington,NC
959,Caucasian,M,40.0,Carrboro/NC,I,5.0,Carrboro,NC
960,Caucasian,M,48.0,Lexington/NC,I,7.0,Lexington,NC
961,Caucasian,F,35.0,"Edmonton,AB",i,4.0,Edmonton,AB
962,Caucasian,F,56.0,"Washington,DC",i,1.0,Washington,DC
963,Caucasian,F,33.0,Ithaca/NY,I,3.5,Ithaca,NY
964,Caucasian,F,43.0,UK/London,I,7.0,UK,London
966,Caucasian,M,56.0,Needham/MA,I,0.0,Needham,MA
967,Caucasian/Jewish,F,43.0,ChapelHill/NC,I,1.0,ChapelHill,NC
968,Caucasian,F,38.0,St.Louis/MI,I,6.0,St.Louis,MI
969,Caucasian/Asian,F,31.0,ChevyChase/MD,I,7.0,ChevyChase,MD
970,Caucasian,F,42.0,SanDiego/CA,i,0.0,SanDiego,CA
971,Asian(South),M,36.0,SantaBarbara/CA,I,1.0,SantaBarbara,CA
972,Caucasian,F,31.0,Charlotte/NC,I,7.0,Charlotte,NC
973,Caucasian,F,4.0,Charlotte/NC,I,1.0,Charlotte,NC
974,Caucasian,F,57.0,Raleigh/NC,I,,Raleigh,NC
975,Caucasian,F,60.0,NewCanaan/CT,I,3.0,NewCanaan,CT
978,Hispanic,F,21.0,Durham/NC,,,Durham,NC
1233,Caucasian,M,34.0,,I,0.0,,None
1234,Caucasian,F,,,I,,,None
1235,Caucasian,F,43.0,,,0.0,,None
1236,Caucasian,F,54.0,,,6.0,,None
1237,Caucasian,F,9.0,"ChapelHill,NC",i,2.0,ChapelHill,NC
1238,Caucasian,F,41.0,"Raleigh,NC",i,0.0,Raleigh,NC
1242,Caucasian,F,44.0,"Raleigh,NC",i,1.0,Raleigh,NC
1243,Caucasian,M,49.0,"Raleigh,NC",i,,Raleigh,NC
1246,Caucasian,F,2.0,"Atlanta,GA",,7.0,Atlanta,GA
1253,Caucasian,M,24.0,"Voss,NC",i,5.0,Voss,NC
1254,Caucasian,F,1.0,"Voss,NC",o,5.0,Voss,NC
1258,Caucasian,f,31.0,"Smithfield,NC",i,7.0,Smithfield,NC
1259,Caucasian,m,33.0,"Smithfield,NC",,7.0,Smithfield,NC
1260,Caucasian,m,10.0,"Smithfield,NC",,7.0,Smithfield,NC
1264,Caucasian,m,46.0,"Raleigh,NC",i,0.0,Raleigh,NC
1265,Caucasian,f,10.0,"Raleigh,NC",i,0.0,Raleigh,NC
1273,Caucasian,M,60.0,,I,3.0,,None
1275,Caucasian,F,18.0,,I,0.0,,None
1276,Caucasian,M,34.0,,O,0.0,,None
1277,Caucasian,F,67.0,,I,7.0,,None
1278,,M,44.0,,I,7.0,,None
1279,Black,F,60.0,,O,9.0,,None
1280,PacificIslander,F,30.0,,I,,,None
1281,Caucasian,F,55.0,,I,3.0,,None
1282,Caucasian,F,53.0,,I,,,None
1283,Caucasian,M,48.0,,I,7.0,,None
1284,Caucasian,F,30.0,,I,7.0,,None
1285,Caucasian,M,42.0,,Both,,,None
1286,Caucasian,M,38.0,,I,7.0,,None
1287,Caucasian,M,46.0,,I,,,None
1288,Caucasian,F,52.0,,I,7.0,,None
1289,Black,F,38.0,,I,,,None
1290,Caucasian,F,53.0,,I,5.0,,None
1291,Caucasian,F,49.0,,I,0.0,,None
1292,Caucasian,M,46.0,,I,,,None
1293,Caucasian,F,68.0,,I,1.0,,None
1294,Caucasian,F,46.0,,I,,,None
1295,Caucasian,F,48.0,,Both,7.0,,None
1296,Black,f,10.0,"Pinehurst,NC",i,4.0,Pinehurst,NC
1297,Caucasion,f,10.0,"Pinehurst,NC",,5.0,Pinehurst,NC
1298,White,m,12.0,"Pinehurst,NC",i,3.0,Pinehurst,NC
1308,Black,f,40.0,"Durham,NC",,7.0,Durham,NC
1309,Black,f,6.0,"Durham,NC",,5.0,Durham,NC
1310,Black,m,3.0,"Durham,NC",,5.0,Durham,NC
1374,Caucasian,F,55.0,"Cary,NC",o,7.0,Cary,NC
1415,,,,,Unknown,,,None
1439,Caucasian,F,,"Sarasota,FL",,,Sarasota,FL
1441,Caucasian,F,36.0,"Raleigh,NC",I,4.0,Raleigh,NC
1443,Caucasian,F,57.0,"Raleigh,NC",I,3.0,Raleigh,NC
1486,Caucasian,F,33.0,"Shrewsbury,UK",I,0.0,Shrewsbury,UK
1487,Caucasian,M,30.0,"Shrewsbury,UK",I,0.0,Shrewsbury,UK
1489,Caucasian,F,28.0,WashingtonDC,I,0.0,,WashingtonDC
1490,Caucasian,F,27.0,DurhamNC,I,0.0,,DurhamNC
1491,Caucasian,F,24.0,WashingtonDC,I,3.0,,WashingtonDC
1494,Caucasian,M,35.0,"Boone,NC",I,0.0,Boone,NC
1495,Caucasian,F,57.0,"Raleigh,NC",I,3.0,Raleigh,NC
1497,Caucasian,M,35.0,"Raleigh,NC",I,0.0,Raleigh,NC
1499,Caucasian,M,33.0,"Waynesville,NC",I,0.0,Waynesville,NC
1500,Caucasian,M,32.0,"Raleigh,NC",I,0.0,Raleigh,NC
